region,month,inflation,year,date
KOTA TANGERANG,Mei,4.33,2026,5/1/2026
KOTA CILEGON,Januari,0.4,2026,1/1/2026
KOTA CILEGON,Februari,3.48,2026,2/1/2026
KOTA CILEGON,Maret,2.55,2026,3/1/2026
KOTA CILEGON,April,3.26,2026,4/1/2026
KOTA CILEGON,Mei,6.75,2026,5/1/2026
KOTA SERANG,Januari,0.59,2026,1/1/2026
KOTA SERANG,Februari,4.38,2026,2/1/2026
KOTA SERANG,Maret,3.11,2026,3/1/2026
KOTA SERANG,April,2.86,2026,4/1/2026
KOTA SERANG,Mei,6.59,2026,5/1/2026
KAB TABANAN,Januari,-0.81,2026,1/1/2026
KAB TABANAN,Februari,2.09,2026,2/1/2026
KAB TABANAN,Maret,1.79,2026,3/1/2026
KAB TABANAN,April,0.77,2026,4/1/2026
KAB TABANAN,Mei,4.23,2026,5/1/2026
KAB BADUNG,Januari,-4.49,2026,1/1/2026
KAB BADUNG,Februari,1.19,2026,2/1/2026
KAB BADUNG,Maret,0.91,2026,3/1/2026
KAB BADUNG,April,0.23,2026,4/1/2026
KAB BADUNG,Mei,3.73,2026,5/1/2026
SINGARAJA,Januari,-1.63,2026,1/1/2026
SINGARAJA,Februari,2.27,2026,2/1/2026
SINGARAJA,Maret,3,2026,3/1/2026
SINGARAJA,April,2.46,2026,4/1/2026
SINGARAJA,Mei,5.01,2026,5/1/2026
KOTA DENPASAR,Januari,0.39,2026,1/1/2026
KOTA DENPASAR,Februari,2.47,2026,2/1/2026
KOTA DENPASAR,Maret,2.53,2026,3/1/2026
KOTA DENPASAR,April,2.77,2026,4/1/2026
KOTA DENPASAR,Mei,5.64,2026,5/1/2026
KAB SUMBAWA,Januari,1.17,2026,1/1/2026
KAB SUMBAWA,Februari,2.99,2026,2/1/2026
KAB SUMBAWA,Maret,3.93,2026,3/1/2026
KAB SUMBAWA,April,3.38,2026,4/1/2026
KAB SUMBAWA,Mei,5.15,2026,5/1/2026
KOTA MATARAM,Januari,0.77,2026,1/1/2026
KOTA MATARAM,Februari,4.88,2026,2/1/2026
KOTA MATARAM,Maret,4.56,2026,3/1/2026
KOTA MATARAM,April,4.03,2026,4/1/2026
KOTA MATARAM,Mei,5.27,2026,5/1/2026
KOTA BIMA,Januari,1.74,2026,1/1/2026
KOTA BIMA,Februari,4.88,2026,2/1/2026
KOTA BIMA,Maret,5.08,2026,3/1/2026
KOTA BIMA,April,4.48,2026,4/1/2026
KOTA BIMA,Mei,7.26,2026,5/1/2026
WAINGAPU,Januari,3.01,2026,1/1/2026
WAINGAPU,Februari,2.91,2026,2/1/2026
WAINGAPU,Maret,3.82,2026,3/1/2026
WAINGAPU,April,4.43,2026,4/1/2026
WAINGAPU,Mei,5.75,2026,5/1/2026
KAB TIMOR TENGAH SELATAN,Januari,0.42,2026,1/1/2026
KAB TIMOR TENGAH SELATAN,Februari,-0.76,2026,2/1/2026
KAB TIMOR TENGAH SELATAN,Maret,1.61,2026,3/1/2026
KAB TIMOR TENGAH SELATAN,April,2.86,2026,4/1/2026
KAB TIMOR TENGAH SELATAN,Mei,-0.55,2026,5/1/2026
MAUMERE,Januari,1.08,2026,1/1/2026
MAUMERE,Februari,0.67,2026,2/1/2026
MAUMERE,Maret,2.2,2026,3/1/2026
MAUMERE,April,3.6,2026,4/1/2026
MAUMERE,Mei,4.03,2026,5/1/2026
KAB NGADA,Januari,2.79,2026,1/1/2026
KAB NGADA,Februari,1.64,2026,2/1/2026
KAB NGADA,Maret,1.81,2026,3/1/2026
KAB NGADA,April,1.62,2026,4/1/2026
KAB NGADA,Mei,4.35,2026,5/1/2026
KOTA KUPANG,Januari,0.26,2026,1/1/2026
KOTA KUPANG,Februari,0.16,2026,2/1/2026
KOTA KUPANG,Maret,1.96,2026,3/1/2026
KOTA KUPANG,April,1.91,2026,4/1/2026
KOTA KUPANG,Mei,3.44,2026,5/1/2026
KAB KETAPANG,Januari,3.01,2026,1/1/2026
KAB KETAPANG,Februari,3.17,2026,2/1/2026
