commodity,year,month,price,date
Bawang Putih (Bonggol),2023,Maret,31938,3/1/2023
Cabai Merah Keriting,2023,Maret,45180,3/1/2023
Cabai Rawit Merah,2023,Maret,67390,3/1/2023
Daging Sapi Murni,2023,Maret,135713,3/1/2023
Daging Ayam Ras,2023,Maret,34672,3/1/2023
Telur Ayam Ras,2023,Maret,28772,3/1/2023
Gula Pasir Lokal/Curah,2023,Maret,14404,3/1/2023
Tepung Terigu Curah,2023,Maret,11279,3/1/2023
Tepung Terigu Kemasan,2023,Maret,,3/1/2023
Minyak Goreng Kemasan,2023,Maret,18174,3/1/2023
Minyak Goreng Curah,2023,Maret,15069,3/1/2023
Jagung Tk. Peternak,2023,Maret,5963,3/1/2023
Ikan Kembung,2023,Maret,40543,3/1/2023
Ikan Tongkol,2023,Maret,36988,3/1/2023
Ikan Bandeng,2023,Maret,35396,3/1/2023
Garam konsumsi,2023,Maret,,3/1/2023
Beras Premium,2023,April,13699,4/1/2023
Beras Medium,2023,April,11958,4/1/2023
Kedelai Biji Kering,2023,April,14829,4/1/2023
Bawang Merah,2023,April,35920,4/1/2023
Bawang Putih (Bonggol),2023,April,32589,4/1/2023
Cabai Merah Keriting,2023,April,38950,4/1/2023
Cabai Rawit Merah,2023,April,45530,4/1/2023
Daging Sapi Murni,2023,April,137527,4/1/2023
Daging Ayam Ras,2023,April,35329,4/1/2023
Telur Ayam Ras,2023,April,29105,4/1/2023
Gula Pasir Lokal/Curah,2023,April,14426,4/1/2023
Tepung Terigu Curah,2023,April,11266,4/1/2023
Tepung Terigu Kemasan,2023,April,13827,4/1/2023
Minyak Goreng Kemasan,2023,April,18267,4/1/2023
Minyak Goreng Curah,2023,April,15075,4/1/2023
Jagung Tk. Peternak,2023,April,6105,4/1/2023
Ikan Kembung,2023,April,40886,4/1/2023
Ikan Tongkol,2023,April,37167,4/1/2023
Ikan Bandeng,2023,April,36107,4/1/2023
Garam konsumsi,2023,April,11849,4/1/2023
Beras Premium,2023,Mei,13662,5/1/2023
Beras Medium,2023,Mei,11930,5/1/2023
Kedelai Biji Kering,2023,Mei,13391,5/1/2023
Bawang Merah,2023,Mei,39244,5/1/2023
Bawang Putih (Bonggol),2023,Mei,36313,5/1/2023
Cabai Merah Keriting,2023,Mei,36460,5/1/2023
Cabai Rawit Merah,2023,Mei,42257,5/1/2023
Daging Sapi Murni,2023,Mei,136245,5/1/2023
Daging Ayam Ras,2023,Mei,36855,5/1/2023
Telur Ayam Ras,2023,Mei,30338,5/1/2023
Gula Pasir Lokal/Curah,2023,Mei,14475,5/1/2023
